Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
1518	-4801.207	-4912.758	111.551	0.7420036	1.330771	7.058234
1524	-4805.132	-4916.224	111.0924	0.6930904	1.509414	7.257434
1530	-4802.778	-4913.294	110.5162	0.6676518	1.17278	7.724613
1536	-4815.283	-4925.821	110.5382	0.712815	1.425939	7.577442
1542	-4815.291	-4927.008	111.7175	0.7522278	1.314718	6.970088
1548	-4811.517	-4923.523	112.0057	0.7981783	1.411397	6.748632
1554	-4818.094	-4929.902	111.8082	0.8472375	1.180046	6.931482
1560	-4806.533	-4917.953	111.4202	0.7585735	1.298881	7.133607
1566	-4801.609	-4912.467	110.8575	0.7037775	1.482616	7.388371
1572	-4810.822	-4921.764	110.9421	0.6897368	1.464509	7.357727
1578	-4811.786	-4923.246	111.4601	0.7296143	1.398394	7.085083
1584	-4825.158	-4936.172	111.0146	0.6301379	1.129271	7.498954
1590	-4801.652	-4912.056	110.4045	0.6757374	1.303558	7.720538
1596	-4803.269	-4913.97	110.7015	0.698522	1.15219	7.61887
1602	-4803.48	-4913.683	110.2035	0.7046012	1.282347	7.821827
1608	-4801.491	-4912.973	111.482	0.7904415	1.251974	7.104251
1614	-4805.056	-4917.156	112.0998	0.7453533	1.251974	6.795696
1620	-4799.175	-4911.178	112.003	0.7895098	1.315493	6.795696
1626	-4808.72	-4920.3	111.5801	0.6954428	1.395644	7.04003
1632	-4815.509	-4927.559	112.049	0.7513311	1.255986	6.818027
1638	-4811.521	-4922.347	110.826	0.6548414	1.423415	7.455365
1644	-4803.452	-4916.402	112.9494	0.8318019	1.306566	6.264311
1650	-4790.424	-4901.367	110.9428	0.6693137	1.300011	7.437318
1656	-4796.313	-4908.945	112.6324	0.6723339	1.274234	6.537202
1662	-4798.471	-4909.703	111.2316	0.7295291	1.374828	7.217847
1668	-4801.408	-4913.099	111.6908	0.6661887	1.275541	7.048148
1674	-4805.798	-4916.605	110.807	0.6245064	1.394305	7.493829
1680	-4808.407	-4919.225	110.8172	0.6929856	1.295797	7.493829
1686	-4800.058	-4911.4	111.3426	0.6956092	1.26585	7.22388
1692	-4795.465	-4907.859	112.3942	0.8187307	1.236041	6.604282
1698	-4796.561	-4908.074	111.5128	0.6762577	1.318574	7.119462
1704	-4796.691	-4906.81	110.1192	0.6654346	1.505785	7.794941
1710	-4797.652	-4908.58	110.9279	0.6329703	1.04084	7.588386
1716	-4792.211	-4902.453	110.2419	0.7200284	1.447331	7.723411
1722	-4786.139	-4896.992	110.8529	0.787497	1.400879	7.379131
1728	-4792.975	-4903.732	110.7566	0.6339304	1.398276	7.514108
1734	-4803.247	-4913.515	110.2676	0.666583	1.298531	7.800757
1740	-4794.818	-4906.172	111.3541	0.7242831	1.211924	7.226925
1746	-4804.205	-4915.053	110.8479	0.5396209	1.177524	7.613472
1752	-4802.336	-4914.381	112.045	0.7006293	1.248736	6.85085
1758	-4799.981	-4911.721	111.7398	0.7100783	1.257555	7.006204
1764	-4790.798	-4901.515	110.7165	0.7484182	1.321646	7.506799
1770	-4798.166	-4910.62	112.4532	0.7556681	1.249537	6.600257
1776	-4797.168	-4908.571	111.4036	0.7638923	1.482639	7.0627
1782	-4800.779	-4912.17	111.3915	0.7497281	1.322846	7.143306
1788	-4801.915	-4912.609	110.6941	0.6511898	1.204772	7.623251
1794	-4806.088	-4915.997	109.909	0.6303215	1.204772	8.053718
1800	-4811.288	-4922.86	111.5723	0.7394389	1.201353	7.106436
1806	-4808.205	-4920.388	112.1824	0.720923	1.311832	6.737492
1812	-4804.53	-4914.19	109.6601	0.7436951	1.330988	8.069733
1818	-4808.228	-4920.293	112.0646	0.807019	1.096632	6.855718
1824	-4805.875	-4917.172	111.2973	0.7453785	1.287219	7.211924
1830	-4805.599	-4917.036	111.437	0.8245812	1.042244	7.211924
1836	-4805.558	-4917.003	111.4451	0.8567209	1.226423	7.100115
1842	-4806.238	-4917.571	111.333	0.7416735	1.234031	7.218716
1848	-4808.912	-4920.305	111.3928	0.8080996	1.092676	7.218716
1854	-4806.054	-4916.935	110.8813	0.7838561	1.299904	7.408972
1860	-4810.789	-4922.376	111.5878	0.7719907	1.10162	7.128824
1866	-4808.22	-4920.204	111.9837	0.7769181	1.275266	6.830762
1872	-4814.155	-4926.165	112.0104	0.8821876	1.180639	6.803316
1878	-4812.034	-4922.612	110.5776	0.7032848	1.244738	7.639391
1884	-4806.718	-4917.768	111.05	0.7538449	1.182654	7.388025
1890	-4804.784	-4914.323	109.5391	0.7566943	1.339631	8.123576
1896	-4804.862	-4916.725	111.8622	0.7122043	1.32886	6.907539
1902	-4809.212	-4920.876	111.6639	0.9003313	1.217103	6.963199
1908	-4820.433	-4930.495	110.0619	0.7947238	1.253084	7.862383
1914	-4799.345	-4909.408	110.0633	0.8239494	1.498238	7.743068
1920	-4806.016	-4917.965	111.9487	0.7908159	1.526346	6.737047
1926	-4806.05	-4918.279	112.2288	0.8396137	1.1216	6.737047
1932	-4811.684	-4925.46	113.7764	0.7370537	1.455786	5.801373
1938	-4800.379	-4912.38	112.0008	0.6597989	1.057759	6.989239
1944	-4796.701	-4908.792	112.0909	0.7110899	1.15523	6.864369
1950	-4804.873	-4916.962	112.0889	0.6975281	1.260811	6.823377
1956	-4800.334	-4912.689	112.3554	0.7886134	1.311767	6.607431
1962	-4789.852	-4901.174	111.3217	0.7419931	1.382804	7.159395
1968	-4798.345	-4910.638	112.293	0.8585225	1.311448	6.603536
1974	-4799.176	-4909.83	110.6545	0.8902149	1.255621	7.493233
1980	-4797.11	-4909.346	112.2365	0.8784402	1.206921	6.670772
1986	-4793.367	-4903.325	109.9579	0.7622467	1.292489	7.917734
1992	-4800.187	-4911.598	111.4108	0.8255709	1.387644	7.064462
1998	-4802.758	-4913.861	111.103	0.7825136	1.022812	7.423919
